split,tag,y_p1,y_p3,y_p7,y_p15
train,2010-02-14,35.444443,33.944443,31.044445,27.162500
train,2010-02-21,35.444443,33.944443,31.044445,21.166666
train,2010-02-28,35.444443,33.944443,31.044445,22.244444
train,2010-03-01,35.444443,33.944443,31.044445,22.244444
train,2010-03-07,35.444443,33.944443,31.299999,24.377777
train,2010-03-14,35.444443,33.944443,27.111111,22.244444
train,2010-03-21,35.200001,31.422222,27.111111,24.322222
train,2010-03-28,35.200001,32.633335,28.900000,25.588888
train,2010-04-01,35.200001,33.288887,29.222221,26.255556
train,2010-04-07,35.200001,32.633335,28.900000,26.255556
train,2010-04-14,36.299999,33.820000,31.422222,27.622223
train,2010-04-21,36.790001,35.980000,33.130001,28.350000
train,2010-04-28,36.790001,35.980000,33.680000,29.299999
train,2010-05-01,36.790001,35.980000,33.680000,29.459999
train,2010-05-07,39.430000,36.299999,34.400002,31.969999
train,2010-05-14,39.430000,36.622223,34.400002,31.969999
train,2010-05-21,39.430000,36.244446,34.630001,32.266666
train,2010-05-28,39.970001,37.360001,35.844444,32.266666
train,2010-06-01,39.970001,39.430000,36.244446,33.549999
train,2010-06-07,39.970001,37.360001,35.844444,33.236362
train,2010-06-14,39.970001,37.360001,35.055557,33.549999
train,2010-06-21,39.970001,36.549999,34.572727,33.549999
train,2010-06-28,39.689999,35.563637,34.799999,33.663635
train,2010-07-01,36.036366,35.345455,34.572727,33.663635
train,2010-07-07,37.772728,36.036366,35.345455,34.136364
train,2010-07-14,40.863636,37.772728,35.563637,34.636364
train,2010-07-21,40.863636,38.881817,37.218182,34.799999
train,2010-07-28,40.863636,38.881817,37.772728,35.227272
train,2010-08-01,40.863636,38.881817,37.772728,35.227272
train,2010-08-07,40.036366,38.509090,35.527271,34.599998
train,2010-08-14,40.036366,38.318180,35.381817,33.763638
train,2010-08-21,35.527271,35.227272,34.254547,32.918182
train,2010-08-28,35.136364,34.845455,33.790909,32.918182
train,2010-09-01,36.099998,34.863636,33.972729,32.918182
train,2010-09-07,37.290909,36.099998,34.836365,32.918182
train,2010-09-14,37.290909,36.099998,34.836365,32.254547
train,2010-09-21,39.109093,37.290909,35.549999,33.580002
train,2010-09-28,39.109093,37.290909,35.549999,31.654545
train,2010-10-01,39.109093,37.290909,34.736362,30.670000
train,2010-10-07,39.109093,36.849998,33.400002,29.040001
train,2010-10-14,39.109093,36.849998,33.400002,28.854546
train,2010-10-21,34.372726,31.227272,29.472727,27.663637
train,2010-10-28,34.372726,30.618181,29.036364,27.227272
train,2010-11-01,31.227272,29.627274,28.854546,27.518183
train,2010-11-07,31.227272,29.472727,28.009090,26.945454
train,2010-11-14,31.227272,28.799999,27.518183,25.618181
train,2010-11-21,27.563637,27.045454,26.072727,23.218182
train,2010-11-28,27.563637,27.045454,25.618181,20.990910
train,2010-12-01,27.045454,26.072727,23.272728,20.209091
train,2010-12-07,23.954546,22.318182,21.236364,19.609091
train,2010-12-14,23.954546,22.318182,20.509090,18.054546
train,2010-12-21,23.954546,21.454546,19.690908,17.272728
train,2010-12-28,23.954546,18.845455,17.963636,16.827272
train,2011-01-01,22.409090,20.081818,18.118181,17.227272
train,2011-01-07,22.409090,20.081818,18.190908,16.745455
train,2011-01-14,22.409090,20.081818,18.118181,16.536364
train,2011-01-21,24.945454,22.272728,19.136364,17.272728
train,2011-01-28,24.945454,23.081818,20.145454,17.381819
train,2011-02-01,24.945454,23.081818,20.036364,17.400000
train,2011-02-07,25.318182,24.254545,22.272728,18.636364
train,2011-02-14,25.318182,24.254545,22.427273,18.727272
train,2011-02-21,27.690908,26.018183,24.072727,20.145454
train,2011-02-28,27.690908,26.018183,23.709091,20.036364
train,2011-03-01,27.690908,26.018183,24.072727,21.136364
train,2011-03-07,32.463634,26.827272,24.645454,21.136364
train,2011-03-14,32.463634,26.827272,25.227272,22.663637
train,2011-03-21,35.536366,32.463634,26.318182,23.600000
train,2011-03-28,35.536366,32.463634,26.318182,24.136364
train,2011-04-01,35.536366,32.463634,27.609091,24.509090
train,2011-04-07,35.590908,34.954544,30.500000,25.200001
train,2011-04-14,35.590908,34.954544,30.500000,25.381819
train,2011-04-21,35.590908,34.372726,28.136364,25.381819
train,2011-04-28,36.981819,34.490910,31.136364,27.463636
train,2011-05-01,36.981819,34.490910,32.536366,28.299999
train,2011-05-07,36.981819,33.236362,30.290909,28.581818
train,2011-05-14,36.981819,34.490910,32.190910,29.954546
train,2011-05-21,36.981819,33.845455,31.436363,29.954546
train,2011-05-28,35.854546,33.654545,32.536366,30.590910
train,2011-06-01,35.854546,33.654545,32.190910,30.590910
train,2011-06-07,35.854546,33.654545,32.554546,31.436363
train,2011-06-14,35.781818,35.290909,33.654545,32.036366
train,2011-06-21,35.781818,35.336365,35.136364,33.054546
train,2011-06-28,38.863636,36.118183,35.336365,34.445454
train,2011-07-01,38.863636,37.190910,35.781818,34.927273
train,2011-07-07,38.863636,37.190910,35.781818,34.981819
train,2011-07-14,38.863636,37.190910,35.500000,34.445454
train,2011-07-21,38.863636,37.190910,34.981819,33.700001
train,2011-07-28,37.627274,34.981819,34.663635,33.663635
train,2011-08-01,34.900002,34.781818,34.099998,33.327274
train,2011-08-07,34.790909,34.536366,33.690910,32.772728
train,2011-08-14,34.790909,34.536366,33.290909,32.618183
train,2011-08-21,34.790909,34.345455,33.290909,32.690910
train,2011-08-28,34.318180,33.190910,32.709091,32.018181
train,2011-09-01,34.318180,33.190910,32.709091,31.900000
train,2011-09-07,34.318180,33.081818,32.690910,31.045454
train,2011-09-14,37.000000,33.218182,32.136364,30.318182
train,2011-09-21,37.000000,32.136364,30.409090,29.063637
train,2011-09-28,37.000000,31.118181,29.663637,27.790909
train,2011-10-01,37.000000,31.118181,28.890909,27.463636
train,2011-10-07,37.000000,31.118181,27.790909,26.209091
train,2011-10-14,29.463636,27.581818,26.672728,24.445454
train,2011-10-21,28.200001,26.490910,24.472727,22.627274
train,2011-10-28,24.809092,23.536364,22.645454,20.799999
train,2011-11-01,24.445454,23.100000,22.354546,19.427273
train,2011-11-07,24.445454,22.900000,21.209091,18.336363
train,2011-11-14,21.772728,19.427273,18.981817,17.945454
train,2011-11-21,24.172728,20.881819,19.136364,17.945454
train,2011-11-28,24.172728,20.881819,18.981817,17.890909
train,2011-12-01,24.172728,20.881819,18.981817,17.890909
train,2011-12-07,24.172728,20.881819,18.090910,17.072727
train,2011-12-14,24.172728,20.881819,17.709091,16.390909
train,2011-12-21,19.227272,17.709091,16.481817,15.363636
train,2011-12-28,20.263636,17.290909,16.390909,15.272727
train,2012-01-01,20.263636,17.100000,15.781818,14.681818
train,2012-01-07,20.263636,17.709091,15.536364,14.645454
train,2012-01-14,20.263636,18.700001,17.100000,14.645454
train,2012-01-21,23.109091,19.809092,18.518183,14.681818
train,2012-01-28,23.109091,19.809092,18.700001,15.536364
train,2012-02-01,23.109091,20.000000,18.745455,16.436363
train,2012-02-07,23.109091,20.454546,19.509090,16.436363
train,2012-02-14,27.663637,24.436363,20.454546,18.554546
train,2012-02-21,27.663637,24.436363,20.472727,18.581818
train,2012-02-28,27.663637,24.672728,21.690908,19.336363
train,2012-03-01,27.663637,24.672728,21.045454,19.000000
train,2012-03-07,31.536364,26.154545,24.436363,20.472727
train,2012-03-14,33.354546,31.536364,26.154545,20.545454
train,2012-03-21,35.045456,33.127274,28.900000,23.763636
train,2012-03-28,35.045456,33.127274,28.900000,25.900000
train,2012-04-01,35.045456,33.127274,29.545454,26.881819
train,2012-04-07,35.045456,33.127274,31.200001,28.336363
train,2012-04-14,35.045456,31.645454,30.827272,28.709091
train,2012-04-21,33.327274,31.627274,30.827272,28.954546
train,2012-04-28,33.400002,31.645454,31.336363,29.518183
train,2012-05-01,36.163635,33.327274,31.518183,29.618181
train,2012-05-07,36.163635,34.200001,31.627274,30.209091
train,2012-05-14,36.163635,34.872726,33.400002,31.336363
train,2012-05-21,38.654545,36.736362,34.200001,33.336365
train,2012-05-28,38.654545,36.736362,34.872726,33.836365
train,2012-06-01,38.654545,36.736362,34.745453,33.945454
train,2012-06-07,38.654545,36.736362,34.727272,33.863636
train,2012-06-14,38.654545,36.745453,35.009090,34.136364
train,2012-06-21,39.363636,37.945454,36.918182,34.690910
train,2012-06-28,39.363636,37.945454,37.009090,35.009090
train,2012-07-01,39.363636,37.945454,37.009090,35.009090
train,2012-07-07,39.363636,37.990910,37.109093,35.845455
train,2012-07-14,39.363636,37.990910,37.190910,36.090908
train,2012-07-21,39.209091,37.109093,36.345455,35.218182
train,2012-07-28,39.209091,36.909092,36.090908,34.799999
train,2012-08-01,39.209091,36.909092,36.090908,34.763638
train,2012-08-07,37.572727,36.345455,35.218182,34.763638
train,2012-08-14,35.718182,35.118183,34.799999,33.418182
train,2012-08-21,35.090908,34.900002,34.036366,33.000000
train,2012-08-28,35.090908,34.772728,33.281818,32.354546
train,2012-09-01,35.270000,35.018181,33.439999,32.527271
train,2012-09-07,35.270000,33.500000,33.200001,31.500000
train,2012-09-14,35.270000,33.439999,33.009998,30.554546
train,2012-09-21,35.270000,33.439999,32.310001,30.481817
train,2012-09-28,35.270000,33.439999,32.259998,29.920000
train,2012-10-01,34.430000,32.310001,31.389999,29.660000
train,2012-10-07,34.430000,32.250000,30.977777,29.459999
train,2012-10-14,34.430000,32.250000,30.655556,29.150000
train,2012-10-21,30.977777,30.280001,29.155556,27.500000
train,2012-10-28,30.977777,30.280001,29.155556,25.129999
