split,tag,y_p1,y_p3,y_p7,y_p15
train,2010-12-28,24.092308,19.692308,18.976923,18.138462
train,2011-01-01,21.500000,19.792307,18.930769,18.138462
train,2011-01-07,21.500000,19.792307,18.830769,17.761538
train,2011-01-14,21.500000,19.792307,18.830769,17.376923
train,2011-01-21,23.569231,20.400000,19.299999,17.523077
train,2011-01-28,23.569231,21.875000,20.323076,17.376923
train,2011-02-01,23.569231,21.875000,19.841667,17.507692
train,2011-02-07,23.569231,21.933332,20.715385,18.361538
train,2011-02-14,23.569231,21.933332,21.016666,18.384615
train,2011-02-21,25.461538,23.684616,21.933332,19.841667
train,2011-02-28,25.461538,23.684616,21.838461,18.753845
train,2011-03-01,25.461538,23.684616,21.838461,18.776922
train,2011-03-07,27.799999,24.569231,23.007692,18.776922
train,2011-03-14,27.799999,24.569231,23.684616,20.230770
train,2011-03-21,35.623077,31.061539,23.823076,20.230770
train,2011-03-28,35.623077,31.061539,23.823076,20.623077
train,2011-04-01,35.623077,31.061539,24.892307,21.684616
train,2011-04-07,35.623077,31.061539,26.976923,22.815384
train,2011-04-14,35.623077,31.061539,26.976923,23.000000
train,2011-04-21,31.053846,30.815384,25.561539,22.938461
train,2011-04-28,32.353848,30.869230,27.223078,24.492308
train,2011-05-01,32.353848,30.869230,29.069231,25.069231
train,2011-05-07,32.353848,30.715385,26.376923,25.430769
train,2011-05-14,32.353848,31.053846,28.007692,26.161539
train,2011-05-21,32.353848,30.715385,27.638462,26.692308
train,2011-05-28,31.100000,29.538462,29.146154,27.261538
train,2011-06-01,31.100000,29.376923,28.838461,27.592308
train,2011-06-07,31.100000,29.538462,29.215385,28.007692
train,2011-06-14,31.253845,30.700001,29.799999,28.838461
train,2011-06-21,31.676924,31.253845,30.700001,29.538462
train,2011-06-28,34.215385,31.830769,31.307692,30.353846
train,2011-07-01,34.215385,32.174999,31.799999,30.769230
train,2011-07-07,34.215385,32.223076,31.825001,31.253845
train,2011-07-14,34.215385,32.223076,31.825001,31.299999
train,2011-07-21,34.215385,32.223076,31.825001,31.261538
train,2011-07-28,32.591667,32.176922,31.776922,31.269230
train,2011-08-01,32.223076,31.799999,31.346153,31.191668
train,2011-08-07,32.176922,31.776922,31.307692,30.992308
train,2011-08-14,32.176922,31.776922,31.253845,30.661539
train,2011-08-21,32.176922,31.776922,31.230770,30.507692
train,2011-08-28,31.230770,31.015385,30.661539,30.184616
train,2011-09-01,31.230770,31.015385,30.507692,30.007692
train,2011-09-07,31.230770,30.715385,30.184616,29.623077
train,2011-09-14,38.276924,32.150002,29.946154,29.184616
train,2011-09-21,38.276924,32.150002,29.230770,28.415384
train,2011-09-28,38.276924,32.150002,29.169231,27.646154
train,2011-10-01,38.276924,32.150002,28.476923,27.299999
train,2011-10-07,38.276924,32.150002,27.538462,26.315384
train,2011-10-14,30.053846,27.538462,26.661539,24.938461
train,2011-10-21,30.053846,26.315384,25.323076,23.438461
train,2011-10-28,25.076923,24.766666,23.483334,21.541666
train,2011-11-01,25.046154,24.741667,22.341667,20.400000
train,2011-11-07,24.766666,23.483334,21.461538,19.641666
train,2011-11-14,20.725000,20.533333,19.841667,18.883333
train,2011-11-21,24.584616,21.776922,20.400000,19.033333
train,2011-11-28,24.584616,21.776922,20.041666,18.983334
train,2011-12-01,24.584616,21.776922,20.041666,18.883333
train,2011-12-07,24.584616,21.776922,19.553846,18.384615
train,2011-12-14,24.584616,21.776922,19.261538,17.807692
train,2011-12-21,20.246155,19.261538,17.846153,16.169231
train,2011-12-28,18.576923,18.376923,17.669231,15.600000
train,2012-01-01,18.553846,18.023077,17.238462,15.430769
train,2012-01-07,18.553846,18.038462,16.315384,15.430769
train,2012-01-14,18.553846,18.223078,17.207693,15.600000
train,2012-01-21,21.084616,18.430769,17.907692,15.776923
train,2012-01-28,21.084616,18.430769,17.907692,16.276922
train,2012-02-01,21.084616,18.892307,18.223078,16.292307
train,2012-02-07,21.084616,19.361538,18.223078,16.700001
train,2012-02-14,22.369230,21.915384,19.361538,17.384615
train,2012-02-21,22.369230,21.915384,20.192308,17.607693
train,2012-02-28,23.207693,22.261538,20.523077,18.653847
train,2012-03-01,23.207693,22.261538,20.523077,18.584616
train,2012-03-07,28.953846,23.853846,22.123077,19.546154
train,2012-03-14,30.530769,28.953846,23.976923,20.184616
train,2012-03-21,34.700001,30.530769,25.553846,22.123077
train,2012-03-28,34.700001,30.530769,25.553846,22.992308
train,2012-04-01,34.700001,30.530769,25.553846,23.176924
train,2012-04-07,34.700001,30.530769,26.915384,23.546154
train,2012-04-14,34.700001,30.223078,26.515385,24.307692
train,2012-04-21,30.646154,27.753845,26.869230,25.192308
train,2012-04-28,30.646154,30.223078,27.015385,25.769230
train,2012-05-01,33.353848,30.646154,27.500000,26.123077
train,2012-05-07,33.353848,30.646154,27.753845,26.200001
train,2012-05-14,33.353848,30.646154,29.107693,27.015385
train,2012-05-21,33.353848,30.869230,29.646154,28.146154
train,2012-05-28,33.353848,31.384615,30.569231,29.107693
train,2012-06-01,31.384615,30.869230,30.546154,29.423077
train,2012-06-07,31.638462,31.115385,30.846153,29.984615
train,2012-06-14,32.469231,31.684616,31.130770,30.738462
train,2012-06-21,33.253845,33.169231,32.469231,31.115385
train,2012-06-28,33.253845,33.169231,32.669231,31.684616
train,2012-07-01,33.253845,33.169231,32.669231,31.684616
train,2012-07-07,35.538460,33.223076,32.776924,31.884615
train,2012-07-14,35.538460,33.253845,32.930771,32.392307
train,2012-07-21,35.538460,32.930771,32.584614,32.158333
train,2012-07-28,35.538460,32.930771,32.491665,32.250000
train,2012-08-01,35.538460,32.930771,32.476925,32.224998
train,2012-08-07,34.438461,32.907692,32.416668,32.224998
train,2012-08-14,32.825001,32.416668,32.253845,31.591667
train,2012-08-21,32.423077,32.376923,31.923077,31.269230
train,2012-08-28,32.423077,31.707693,31.284615,30.653847
train,2012-09-01,32.423077,31.707693,31.284615,30.523077
train,2012-09-07,33.938461,31.484615,30.884615,30.315384
train,2012-09-14,33.938461,31.484615,30.784615,29.676924
train,2012-09-21,33.938461,31.484615,30.346153,29.561539
train,2012-09-28,33.938461,31.484615,30.307692,29.323076
train,2012-10-01,33.938461,30.715385,30.076923,29.038462
train,2012-10-07,32.307693,30.484615,30.076923,29.323076
train,2012-10-14,32.307693,30.484615,30.007692,28.792307
train,2012-10-21,32.307693,30.376923,29.361538,26.876923
train,2012-10-28,32.307693,30.376923,28.792307,24.992308
train,2012-11-01,32.307693,30.007692,26.876923,23.253845
train,2012-11-07,26.876923,25.653847,24.776922,23.100000
train,2012-11-14,25.653847,24.992308,24.538462,22.669231
train,2012-11-21,24.838461,24.538462,23.007692,20.307692
train,2012-11-28,24.838461,24.538462,21.746155,19.207693
train,2012-12-01,24.838461,24.538462,19.876923,19.069231
train,2012-12-07,20.546154,19.876923,19.484615,18.961538
train,2012-12-14,20.307692,19.646154,19.230770,18.407692
train,2012-12-21,19.761538,19.484615,19.207693,18.130770
train,2012-12-28,23.176924,21.238462,19.515385,18.815384
train,2013-01-01,23.176924,21.238462,19.646154,18.630770
train,2013-01-07,23.176924,21.561539,19.661539,18.246155
train,2013-01-14,23.176924,21.900000,20.292307,18.938461
train,2013-01-21,23.176924,21.900000,20.292307,18.915384
train,2013-01-28,26.515385,22.238462,20.423077,18.823076
train,2013-02-01,26.515385,22.238462,20.915384,18.915384
train,2013-02-07,26.515385,22.661539,21.830769,18.938461
train,2013-02-14,34.053844,27.238462,24.392307,20.130770
train,2013-02-21,34.053844,29.046154,26.330769,20.861538
train,2013-02-28,34.053844,30.853846,26.330769,20.861538
train,2013-03-01,34.053844,30.853846,26.330769,21.261538
train,2013-03-07,34.053844,30.876923,27.238462,22.653847
train,2013-03-14,34.053844,31.769230,27.007692,21.869230
train,2013-03-21,32.246155,30.876923,25.500000,21.815384
train,2013-03-28,32.246155,30.346153,25.369230,21.469231
train,2013-04-01,34.876923,33.838463,28.930769,21.815384
train,2013-04-07,34.876923,33.838463,30.346153,25.215385
train,2013-04-14,34.876923,33.838463,29.392307,26.215385
train,2013-04-21,34.876923,33.838463,29.392307,26.769230
train,2013-04-28,34.876923,32.484615,29.346153,27.153847
train,2013-05-01,37.023075,30.707693,28.869230,27.153847
train,2013-05-07,37.023075,31.630770,29.346153,27.361538
train,2013-05-14,37.023075,31.938461,30.638462,27.846153
train,2013-05-21,37.023075,31.938461,30.638462,27.969231
train,2013-05-28,37.023075,31.938461,30.707693,29.353846
train,2013-06-01,34.000000,31.753845,30.361538,29.353846
train,2013-06-07,34.000000,30.876923,30.023077,29.315384
train,2013-06-14,30.876923,30.361538,29.746155,29.315384
train,2013-06-21,30.876923,30.284615,30.000000,29.684616
