split,tag,y_p1,y_p3,y_p7,y_p15
train,2012-01-14,21.333334,20.991667,18.516666,16.375000
train,2012-01-21,22.341667,21.241667,19.450001,17.083334
train,2012-01-28,22.341667,20.991667,20.183332,17.391666
train,2012-02-01,22.983334,21.241667,20.191668,18.174999
train,2012-02-07,22.983334,20.991667,19.990000,17.591667
train,2012-02-14,28.450001,23.218182,20.716667,18.650000
train,2012-02-21,28.450001,23.218182,21.136364,19.027273
train,2012-02-28,28.450001,23.218182,21.775000,19.833334
train,2012-03-01,28.450001,23.218182,21.366667,19.150000
train,2012-03-07,28.450001,26.391666,22.591667,20.283333
train,2012-03-14,31.608334,27.591667,25.566668,21.075001
train,2012-03-21,36.058334,31.608334,26.616667,22.191668
train,2012-03-28,36.058334,31.608334,26.616667,23.233334
train,2012-04-01,36.058334,31.608334,26.616667,24.700001
train,2012-04-07,36.058334,31.608334,29.150000,24.958334
train,2012-04-14,36.058334,30.375000,28.291666,25.841667
train,2012-04-21,32.333332,29.233334,28.291666,26.033333
train,2012-04-28,32.333332,30.375000,28.933332,26.975000
train,2012-05-01,35.141666,32.266666,29.233334,27.516666
train,2012-05-07,35.141666,32.266666,29.275000,27.733334
train,2012-05-14,35.141666,32.266666,30.108334,28.700001
train,2012-05-21,35.141666,32.266666,30.558332,29.283333
train,2012-05-28,35.141666,32.841667,31.600000,30.191668
train,2012-06-01,33.299999,32.416668,31.541666,30.450001
train,2012-06-07,33.299999,32.416668,31.733334,31.200001
train,2012-06-14,33.299999,32.841667,32.150002,31.625000
train,2012-06-21,34.400002,34.208332,33.383335,32.000000
train,2012-06-28,34.400002,34.233334,33.875000,32.474998
train,2012-07-01,34.400002,34.233334,33.875000,32.575001
train,2012-07-07,37.733334,34.400002,34.150002,33.183334
train,2012-07-14,37.733334,34.650002,34.375000,33.650002
train,2012-07-21,37.733334,34.775002,34.233334,33.333332
train,2012-07-28,37.733334,34.775002,34.116665,33.208332
train,2012-08-01,37.733334,34.775002,33.825001,33.191666
train,2012-08-07,35.174999,34.566666,33.608334,32.966667
train,2012-08-14,33.341667,33.333332,33.125000,32.525002
train,2012-08-21,33.341667,33.208332,32.883335,32.349998
train,2012-08-28,33.125000,32.883335,32.458332,31.508333
train,2012-09-01,33.650002,32.958332,32.316666,31.341667
train,2012-09-07,33.650002,32.958332,31.741667,31.108334
train,2012-09-14,33.650002,32.958332,31.458334,30.466667
train,2012-09-21,33.650002,33.250000,31.316668,30.091667
train,2012-09-28,33.650002,33.250000,30.983334,29.900000
train,2012-10-01,33.299999,31.975000,30.241667,29.549999
train,2012-10-07,33.299999,31.908333,30.333334,29.424999
train,2012-10-14,33.299999,31.316668,30.241667,29.108334
train,2012-10-21,31.908333,30.375000,29.141666,28.016666
train,2012-10-28,31.908333,30.375000,29.108334,26.291666
train,2012-11-01,31.908333,30.375000,28.208334,24.850000
train,2012-11-07,28.208334,27.375000,26.150000,24.191668
train,2012-11-14,28.208334,27.125000,25.283333,23.950001
train,2012-11-21,27.125000,25.625000,24.075001,21.375000
train,2012-11-28,27.125000,25.625000,22.708334,20.424999
train,2012-12-01,27.125000,25.625000,21.458334,20.066668
train,2012-12-07,22.708334,21.458334,20.891666,19.981817
train,2012-12-14,21.618181,21.118181,20.350000,19.808332
train,2012-12-21,22.716667,21.118181,20.375000,19.825001
train,2012-12-28,27.241667,22.641666,20.666666,19.845455
train,2013-01-01,27.241667,22.641666,20.466667,19.825001
train,2013-01-07,27.241667,23.383333,21.041666,19.541666
train,2013-01-14,27.241667,23.383333,22.258333,19.933332
train,2013-01-21,27.241667,23.383333,21.575001,19.825001
train,2013-01-28,26.558332,25.625000,22.358334,19.833334
train,2013-02-01,26.558332,25.625000,22.358334,20.141666
train,2013-02-07,29.041666,26.558332,22.358334,20.141666
train,2013-02-14,35.858334,29.041666,27.225000,21.258333
train,2013-02-21,35.858334,32.049999,27.983334,21.866667
train,2013-02-28,35.858334,32.349998,28.016666,21.850000
train,2013-03-01,35.858334,32.349998,28.016666,23.049999
train,2013-03-07,35.858334,32.349998,28.416666,23.816668
train,2013-03-14,35.858334,32.349998,28.416666,23.375000
train,2013-03-21,33.575001,32.049999,25.225000,23.233334
train,2013-03-28,33.575001,29.883333,25.891666,23.049999
train,2013-04-01,36.236362,33.833332,29.872726,23.233334
train,2013-04-07,36.236362,33.833332,29.366667,25.225000
train,2013-04-14,36.236362,33.833332,29.366667,27.350000
train,2013-04-21,36.236362,33.833332,29.975000,28.016666
train,2013-04-28,36.236362,32.109093,30.525000,28.125000
train,2013-05-01,37.299999,31.416666,30.308332,28.125000
train,2013-05-07,37.299999,33.674999,30.825001,28.325001
train,2013-05-14,38.241665,34.424999,31.416666,29.600000
train,2013-05-21,38.241665,34.424999,31.558332,29.816668
train,2013-05-28,38.241665,34.424999,32.283333,30.858334
train,2013-06-01,38.241665,34.016666,31.558332,30.616667
train,2013-06-07,38.241665,32.341667,31.366667,30.458334
train,2013-06-14,32.341667,32.266666,31.166666,30.458334
