split,tag,y_p1,y_p3,y_p7,y_p15
train,2009-05-07,33.450001,31.783333,28.825001,27.350000
train,2009-05-14,33.450001,31.783333,30.116667,28.508333
train,2009-05-21,31.799999,31.075001,30.291666,28.775000
train,2009-05-28,31.900000,31.799999,31.333334,30.183332
train,2009-06-01,36.200001,31.891666,31.441668,30.483334
train,2009-06-07,36.200001,32.108334,31.650000,30.433332
train,2009-06-14,36.200001,33.375000,32.016666,30.916666
train,2009-06-21,36.200001,33.375000,32.358334,31.400000
train,2009-06-28,36.200001,34.008335,32.900002,32.108334
train,2009-07-01,35.408333,33.549999,32.900002,32.108334
train,2009-07-07,34.008335,33.375000,32.841667,32.358334
train,2009-07-14,34.008335,32.983334,32.783333,32.208332
train,2009-07-21,34.008335,32.983334,32.783333,31.983334
train,2009-07-28,33.549999,32.858334,32.633335,31.966667
train,2009-08-01,32.983334,32.841667,32.358334,31.950001
train,2009-08-07,32.858334,32.358334,31.983334,31.600000
train,2009-08-14,36.950001,32.833332,31.983334,31.400000
train,2009-08-21,36.950001,32.833332,31.833334,30.933332
train,2009-08-28,36.950001,31.541666,31.000000,30.608334
train,2009-09-01,36.950001,31.541666,30.775000,30.316668
train,2009-09-07,36.950001,30.933332,30.708334,30.041666
train,2009-09-14,30.816668,30.708334,30.116667,29.658333
train,2009-09-21,36.924999,33.758335,30.658333,29.658333
train,2009-09-28,36.924999,33.758335,31.266666,29.450001
train,2009-10-01,36.924999,33.758335,31.266666,29.433332
train,2009-10-07,36.924999,33.758335,31.266666,29.183332
train,2009-10-14,36.924999,33.758335,31.683332,28.866667
train,2009-10-21,32.958332,31.266666,29.483334,25.641666
train,2009-10-28,32.958332,29.783333,25.733334,24.033333
train,2009-11-01,32.958332,27.900000,24.941668,22.666666
train,2009-11-07,32.958332,25.900000,24.708334,22.441668
train,2009-11-14,24.941668,23.866667,22.666666,21.433332
train,2009-11-21,24.941668,24.741667,23.116667,21.424999
train,2009-11-28,26.558332,24.741667,21.783333,20.758333
train,2009-12-01,26.558332,24.783333,23.666666,20.424999
train,2009-12-07,26.558332,24.783333,21.450001,20.108334
train,2009-12-14,26.558332,24.875000,24.025000,21.166666
train,2009-12-21,26.558332,25.233334,24.025000,20.900000
train,2009-12-28,25.583334,24.875000,23.108334,20.241667
train,2010-01-01,26.041666,25.233334,23.108334,20.783333
train,2010-01-07,26.041666,25.233334,22.916666,19.458334
train,2010-01-14,26.458334,25.233334,22.225000,19.275000
train,2010-01-21,30.583334,29.225000,25.950001,19.741667
train,2010-01-28,31.000000,29.808332,26.041666,21.025000
train,2010-02-01,31.000000,29.808332,25.950001,19.741667
train,2010-02-07,32.908333,30.583334,27.183332,20.991667
train,2010-02-14,35.691666,34.325001,30.583334,24.866667
train,2010-02-21,35.691666,34.325001,28.045454,20.766666
train,2010-02-28,35.691666,34.325001,27.041666,21.799999
train,2010-03-01,35.691666,34.325001,27.041666,21.799999
train,2010-03-07,35.691666,34.325001,29.366667,23.591667
